// Compost colors for suppsquared. You may add your own colors, change existing ones, or remove colors that aren't needed.
brass_lantern, #ffffff
copper_lantern, #ffffff
copper_plaque, #ffa879
crimson_lantern, #ffffff
gold_candle_holder, #ffd252
gold_candle_holder_black, #d69637
gold_candle_holder_blue, #dca55f
gold_candle_holder_brown, #f5a42f
gold_candle_holder_cyan, #ccb952
gold_candle_holder_gray, #e6ac46
gold_candle_holder_green, #e4af25
gold_candle_holder_light_blue, #d6bf6e
gold_candle_holder_light_gray, #f8b84d
gold_candle_holder_lime, #f0cc29
gold_candle_holder_magenta, #ff985b
gold_candle_holder_orange, #ffb125
gold_candle_holder_pink, #ffb25a
gold_candle_holder_purple, #f1935f
gold_candle_holder_red, #ff962c
gold_candle_holder_soul, #ffedac
gold_candle_holder_white, #ffd46e
gold_candle_holder_yellow, #ffc933
gold_plaque, #ffff46
heavy_key, #443c3d
iron_plaque, #ddebfb
metal_brace, #93989e
metal_cross_brace, #93989e
metal_frame, #91979d
