// Compost colors for t_en_ms_discs_forge. You may add your own colors, change existing ones, or remove colors that aren't needed.
alive, #d0d9bf
alldisc, #f1f4f0
bad_omen, #d3d4d3
below, #e3e8f7
breeze, #ffffff
brute, #d3cdbf
candy, #c3abca
cascade, #d9d7d6
celebration, #57235c
citrine, #ffeeb6
comet, #c9b8aa
cotton_candy, #c096d3
forest, #d3d0bb
gilded, #e0d2bf
glide, #f0f0f4
guardian, #f1e6d9
husk, #f7f1dc
leaf, #44ae33
leaf_shooter, #98b1bb
lightning, #306e75
luminous, #d3d2d0
mashup, #eef0e3
mineshaft, #f1e7dc
no_escape, #fbe7dd
northen_lights, #b5b8c0
ochre, #fffffa
overtune, #dedccf
party_popper, #cdafcf
pearl_shooter, #98b1bb
pumpkin, #ffeab1
raiders, #d7d3d3
shrieker, #ebf8ee
shriekerx_brute, #e0e4d9
shulker, #edddea
sleigh, #ffcfbc
snowstorm, #ffffff
soul_shooter, #98b1bb
soulless, #51524a
stride, #edbfbc
the_ender_dragon, #beabc6
the_wither, #dcdddd
thunder_storm, #dadee3
time, #97b1a0
tundra, #dae8ff
underscore, #ffffff
warden_run, #d6ddde
