// Compost colors for the_deep_void. You may add your own colors, change existing ones, or remove colors that aren't needed.
all_seeing_axe, #541f1c
all_seeing_boots, #3a1c1b
all_seeing_chestplate, #3d1615
all_seeing_helmet, #371514
all_seeing_hoe, #4b1916
all_seeing_leggings, #4d1f1c
all_seeing_pickaxe, #4e1b18
all_seeing_shovel, #571e1b
all_seeing_sword, #551f1c
ambrosia, #986828
ash_pile, #f0f0f
ashen_cave_air, #505050
ashen_void_fern, #1b1b1b
big_teeth, #867a70
bismuth, #b1a1d3
bismuth_glass_pane, #afbfda
bismuth_lantern, #d7c891
bismuth_lantern_hanged, #d7c891
bismuth_netherite_axe, #6f556b
bismuth_netherite_boots, #65557d
bismuth_netherite_chestplate, #6b617a
bismuth_netherite_helmet, #5e506b
bismuth_netherite_hoe, #655162
bismuth_netherite_leggings, #66586f
bismuth_netherite_pickaxe, #6f586c
bismuth_netherite_shovel, #644a5c
bismuth_netherite_sword, #755f79
black_moss, #1b1b1b
bloody_tongue, #860404
blossoming_desolate_lichen, #2d2f44
bone_axe, #918e84
bone_ball, #c2bfb1
bone_cave_air, #54524a
bone_crawler_chitin, #444844
bone_crawler_egg, #afb9af
bone_crawler_egg_generate, #afb9af
bone_hoe, #7f7d73
bone_marrow, #615e52
bone_mush, #6f6e62
bone_pickaxe, #8c8a7f
bone_shovel, #969389
bone_sword, #9e9b90
canopy_bone_marrow, #615e52
canopy_rotten_grass, #1c1c1c
cave_growth, #2d2d2a
chasms_music_disc, #5b1919
cinnabar, #eb5244
cinnabar_roll, #ffc2ae
connected_hanging_goo, #bbcab8
connected_marrow, #6c6b66
cooked_crawler_egg, #cff8c9
corpse, #afafaf
corpse_chandelier, #7f7358
corpse_spawn, #bebbae
corpse_spawn_graveyard, #bebbae
covered_corpse, #afafaf
covered_corpse_spawn, #bebbae
crawler_boots, #191919
crawler_chestplate, #666e66
crawler_helmet, #252525
crawler_leggings, #191919
crawler_omelette, #caf0c3
dead_ferryman, #afa5be
deepslate_sarcophagus, #66666b
deepslate_sarcophagus_block, #66666b
