// Compost colors for upgrade_aquatic. You may add your own colors, change existing ones, or remove colors that aren't needed.
acan_coral, #abffff
acan_coral_fan, #b8ffff
beachgrass, #ffffe6
bedroll, #ffcab4
black_bedroll, #b4b1b5
blue_bedroll, #c6eaff
blue_jelly_torch, #ffffff
boiled_pickerelweed, #5f5a61
branch_coral, #ffffff
branch_coral_fan, #d3d3d7
brown_bedroll, #f7d9ca
chrome_coral, #fffaff
chrome_coral_fan, #ffffff
cooked_lionfish, #ddc29d
cooked_perch, #ddbe7d
cooked_pike, #fef5e6
cyan_bedroll, #d2ffff
dead_acan_coral, #faf4f1
dead_acan_coral_fan, #fffbf8
dead_branch_coral, #ffffff
dead_branch_coral_fan, #ffffff
dead_chrome_coral, #fffffc
dead_chrome_coral_fan, #ffffff
dead_finger_coral, #ffffff
dead_finger_coral_fan, #fffaf7
dead_moss_coral, #f1ebe8
dead_moss_coral_fan, #ffffff
dead_petal_coral, #ffffff
dead_petal_coral_fan, #ffffff
dead_pillow_coral, #ffffff
dead_pillow_coral_fan, #ffffff
dead_rock_coral, #ffffff
dead_rock_coral_fan, #ffffff
dead_silk_coral, #ffffff
dead_silk_coral_fan, #ffffff
dead_star_coral, #ccc5c2
dead_star_coral_fan, #fef8f7
disc_fragment_atlantis, #5f8d9a
driftwood_boat, #6c655b
driftwood_chest_boat, #7a6647
driftwood_door, #9e9080
driftwood_furnace_boat, #6c665c
driftwood_hanging_sign, #7c756b
driftwood_ladder, #f4eae0
driftwood_sign, #7d7569
elder_prismarine_coral, #fffffc
elder_prismarine_coral_fan, #ffffff
elder_prismarine_coral_shower, #ffffff
finger_coral, #ffffcc
finger_coral_fan, #ffe79a
flowering_rush, #ffffff
glass_door, #ffffff
glow_squid_bucket, #caffff
gray_bedroll, #d4d4d4
green_bedroll, #d6ffd9
green_jelly_torch, #ffffff
jellyfish_bucket, #abffff
large_driftwood_boat, #6b655a
large_river_boat, #795b43
light_blue_bedroll, #caffff
light_gray_bedroll, #f7f7f7
lime_bedroll, #e0ffcd
lionfish, #ffc5b1
lionfish_bucket, #cf938e
magenta_bedroll, #ffcaf8
moss_coral, #cce09d
moss_coral_fan, #f5ffd4
mulberry, #964e6f
mulberry_bread, #fff0c8
mulberry_jam_bottle, #ffffff
mulberry_pie, #ffffff
music_disc_atlantis, #6194a5
nautilus_bucket, #e0ccca
orange_bedroll, #ffeeb8
orange_jelly_torch, #ffffff
perch, #b69d51
perch_bucket, #a5a89e
petal_coral, #deffff
petal_coral_fan, #e8ffff
pickerelweed, #509a76
pike, #ffffe4
pike_bucket, #eef4fe
pillow_coral, #ffffff
pillow_coral_fan, #ffffff
pink_bedroll, #ffe4fc
pink_jelly_torch, #ffffff
pink_searocket, #ffffff
predator_pottery_sherd, #965243
prismarine_coral, #d4ffff
prismarine_coral_fan, #e8ffff
prismarine_coral_shower, #eeffff
prismarine_rod, #ffffff
purple_bedroll, #ffcdff
purple_jelly_torch, #ffffff
red_bedroll, #ffc6c0
red_jelly_torch, #ffffff
river_boat, #795b43
river_chest_boat, #825f39
river_door, #8e6e57
river_furnace_boat, #735f4e
river_hanging_sign, #876b55
river_ladder, #e3d0bf
river_leaf_pile, #bec6b9
river_sapling, #ffffff
river_sign, #896851
rock_coral, #fffff1
rock_coral_fan, #ffffff
silk_coral, #ffffff
silk_coral_fan, #ffffff
squid_bucket, #cdddf1
star_coral, #beff72
star_coral_fan, #f5ffbe
tall_beachgrass, #ffffff
thrasher_tooth, #ffffff
tooth_door, #ffffff
tooth_lantern, #ffffff
white_bedroll, #ffffff
white_jelly_torch, #ffffff
white_searocket, #ffffff
yellow_bedroll, #ffffb6
yellow_jelly_torch, #ffffff
