// Compost colors for voidscape. You may add your own colors, change existing ones, or remove colors that aren't needed.
astral_crystal, #e462cc
astral_essence, #ffbcff
astral_shards, #de68bf
charred_bone, #3c2d36
charred_warhammer_head, #57335e
corrupt_tome, #43445e
ethereal_essence, #70548e
ethereal_fruit_end, #68296e
ethereal_fruit_nether, #97442d
ethereal_fruit_null, #ffffff
ethereal_fruit_overworld, #65eada
ethereal_fruit_void, #b984ff
flesh_chunk, #ffbb86
ichor, #fffa18
ichor_crystal, #ffff62
ichor_tome, #ffeb6e
strange_pearl, #e35fb9
tendril, #4b4854
thunder_fungus, #a44dc3
thunder_roots, #5147bc
thunder_vines, #9032bc
titanite_chunk, #707070
titanite_shard, #2acc9d
titanite_tome, #4bffbf
voidic_crystal, #af4bea
voidic_template, #5e55b2
voidic_tome, #9844dc
