// Compost colors for wizards_reborn. You may add your own colors, change existing ones, or remove colors that aren't needed.
advanced_air_crystal, #fffff4
advanced_earth_crystal, #fffff5
advanced_fire_crystal, #ffffee
advanced_void_crystal, #ffffff
advanced_water_crystal, #ffffff
air_crystal, #ffffff
air_crystal_growth, #ffffff
air_crystal_seed, #ffffff
alchemy_bag, #91756f
alchemy_bottle, #98b1c3
alchemy_calx, #fbfeee
alchemy_flask, #a2b5c3
alchemy_flask_potion, #a2b5c3
alchemy_oil_bucket, #9e979a
alchemy_vial, #a2becd
alchemy_vial_potion, #a2becd
applejack_bottle, #f7945e
arcacite, #cc6570
arcacite_amulet, #d6847d
arcacite_polishing_mixture, #b5627f
arcacite_ring, #f19e8d
arcane_enchanted_book, #b88080
arcane_fortress_belt, #af7c6f
arcane_fortress_boots, #e39484
arcane_fortress_chestplate, #eda28c
arcane_fortress_helmet, #e89887
arcane_fortress_leggings, #f0a18c
arcane_gold_axe, #bf8376
arcane_gold_boots, #e79887
arcane_gold_chestplate, #fcaf94
arcane_gold_helmet, #f2a48d
arcane_gold_hoe, #ab6f6b
arcane_gold_ingot, #ffc8a1
arcane_gold_knife, #e8a48d
arcane_gold_leggings, #ea9a87
arcane_gold_nugget, #ffffff
arcane_gold_pickaxe, #b87a72
arcane_gold_scythe, #b68073
arcane_gold_sheet, #ffcfa5
arcane_gold_shovel, #d29182
arcane_gold_sword, #fff5e0
arcane_hopper, #986b65
arcane_linen, #ffffea
arcane_linen_seeds, #ffffff
arcane_salt_campfire, #c2897c
arcane_salt_lantern, #b58079
arcane_salt_torch, #916862
arcane_wand, #ffffff
arcane_wood_axe, #6f484d
arcane_wood_boat, #b99b9e
arcane_wood_bow, #a56e69
arcane_wood_branch, #d4bec0
arcane_wood_chest_boat, #835c46
arcane_wood_door, #edd9dc
arcane_wood_hanging_sign, #7d5b5e
arcane_wood_hoe, #6b444a
arcane_wood_knife, #6f484e
arcane_wood_mortar, #754d52
arcane_wood_pickaxe, #6c464b
arcane_wood_sapling, #ffffff
arcane_wood_scythe, #6c464b
arcane_wood_shovel, #70484e
arcane_wood_sign, #7d555a
arcane_wood_sword, #6f484d
arcane_wood_trim, #865c5f
arcanemicon, #ac8783
arcanum, #ffffff
arcanum_amulet, #c6a2b4
arcanum_dust, #ffffff
arcanum_growth, #ffffff
arcanum_lens, #b4deff
arcanum_ring, #e6b4ac
arcanum_seed, #7590e8
arkhi_bottle, #fae3b2
ascension_banner_pattern, #fffadc
baikal_bottle, #5f3036
black_arcane_lumos, #ffffff
black_cargo_carpet, #434141
blaze_reap, #4d5a64
blazing_wand, #895c5a
blue_arcane_lumos, #ffffff
blue_cargo_carpet, #68a8e7
borovichka_bottle, #87b9bc
bourbon_bottle, #837943
brown_arcane_lumos, #ffffff
brown_cargo_carpet, #d48e6f
brown_mushroom_cap, #dea782
bunch_of_things, #967578
cargo_carpet, #9a7068
chacha_bottle, #c2b6a0
chicha_bottle, #dcbe89
cooperation_banner_pattern, #fff2d0
cork_bamboo, #5c373c
cork_bamboo_chest_raft, #735034
cork_bamboo_door, #5e373c
cork_bamboo_hanging_sign, #644144
cork_bamboo_raft, #724748
cork_bamboo_salt_campfire, #a46f64
cork_bamboo_salt_lantern, #a76f68
cork_bamboo_salt_torch, #75544d
cork_bamboo_seed, #5e373c
cork_bamboo_sign, #5c373c
cosmic_arcane_lumos, #ffffff
creative_knowledge_ancient_scroll, #fffffc
creative_knowledge_scroll, #fffffb
creative_spell_ancient_scroll, #ffffff
creative_spell_scroll, #ffffff
creative_wissen_keychain, #c2809d
crimson_fungus_cap, #c63426
crushed_raw_arcane_gold, #faac93
crystal_bag, #8e6b61
cyan_arcane_lumos, #ffffff
cyan_cargo_carpet, #9bedfa
distant_calx, #39afaa
earth_crystal, #fbffff
earth_crystal_growth, #fbffff
earth_crystal_seed, #ffffff
elder_mor, #ffffff
elder_mor_cap, #898d9d
elder_mor_colony, #79787c
enchanted_calx, #caff87
faceted_air_crystal, #ffffff
faceted_earth_crystal, #faffff
faceted_fire_crystal, #fffbfe
faceted_void_crystal, #ffffff
faceted_water_crystal, #ffffff
fire_crystal, #ffffff
